AccountID,RMSE,SI
e520d0a6-a1d7-468a-9d5b-3e554dafe615,9173.827827,5.79414778
28180512-082e-4f14-bc12-d66cd9c22417,688.6027262,1.134011102
cf57875c-430d-444a-be07-abde3c8eafab,7630.706019,2.495856222
224f4fe1-cb84-4926-88bf-3159ff28f320,3004.154459,6.372125418
c29abef9-d8be-4b37-bb84-f1344496cc33,2637.727101,1.600744685
5806a549-8753-48d9-ab45-9188151639d2,6240.483417,1.646206768
248914c4-1320-47d9-80d9-3e4dc1d646bc,1737.439868,1.616544938
7459cd82-c1f0-4580-858d-6f507f51da5a,5236.600336,1.414690218
5ffc25d1-97f4-4eb2-b31e-8e1a5cb39aa8,7961.730516,5.833145665
4ee24ad0-965d-4bb6-9df6-4861c5464718,118330.5469,0.785972182
4fb146a1-70fb-46d4-9817-ce2e27926608,2474.849785,2.333548741
c980b50e-d4d7-468b-9ca8-d3d4494bc041,5806.623922,1.332572015
06e1c218-e56d-4280-b7e4-36fdbabbd563,95973.82717,2.213078497
8cfe5551-fb84-41c1-bb40-6d73a2a81fdf,52778.29802,0.632829956
0734342c-6b9a-42f8-834c-08a98d60e98c,12450.08465,0.562851589
16434,8586.701525,3.183407861
5494ad63-4540-438a-b43f-12b7dec828c9,12068.83669,2.275158323
c574bf11-f6e1-46d6-8a82-f966998c89e7,3902.710926,2.276931641
fc4b16fd-ff68-494e-95e2-578219437a28,5574.439339,1.272686774
16448,2925.678067,2.237930648
16420,1200.08705,10.43136702
16418,3714.049834,11.96199471
d1503667-7dc3-43c6-a861-3ad0897876b7,3059.513572,1.178884279
f1f11e26-f50b-4e90-9cdb-324e96cd199e,2836.887233,1.330134647
0a2c2b45-42bf-4a2e-8118-e7279e5589de,214.3485964,3.807798558
ed48f8cd-4735-4d85-b60b-85072796882c,5953.219363,1.025370546
16452,41202.52802,1.585904118
0ef82a07-1223-499d-be93-31f40c19f375,3723.043606,2.357771375
14c1420f-c74a-4afe-bf22-cd6ab7cd12b4,2062.895019,4.499422044
13db8e91-25f6-48db-9df6-974a3b920945,39757.73166,0.901534557
29042ffc-e45d-4fe9-984f-8f8a74e550c2,3686.464252,0.828137924
9c7aa0c6-1053-4f16-88ea-a8daa215a05c,9370.685931,2.146758319
258e8d14-da6a-4e30-b024-d2eaa9a0c686,1004.117095,1.105694483
52fa60f0-cc48-4d49-9f33-e267013e4f86,4015.042102,1.747405729
2c8778f4-d3ef-4ff9-b912-0be449f47db8,5645.341515,1.75680273
8cbf5242-29c7-4784-be98-1ad2c57f531d,145487.5837,2.057640921
d994a8e3-00d1-4560-a25e-ba93583f96d4,70773.07138,2.865029542
9d2829c5-95cf-4b42-b7a5-4f1791f0c0b7,1595.053547,2.906703502
